"name","location"
"Aberdeen Railway Station","Aberdeen, United Kingdom"
"Abu Simbel","Abu Simbel, Egypt"
"Aggeneys","Aggeneys, South Africa"
"Akure","Akure, Nigeria"
"Akwa Ibom International Airport","Uyo, Nigeria"
"Alalamain Intl.","Dabaa City, Egypt"
"Aldergrove","Belfast, United Kingdom"
"Alexander Bay","Alexander Bay, South Africa"
"Alexandria Intl","Alexandria, Egypt"
"Amboseli Airport","Amboseli National Park, Kenya"
"Anglesey Airport","Angelsey, United Kingdom"
"Arua Airport","Arua, Uganda"
"Arusha","Arusha, Tanzania"
"Ashford","Lympne, United Kingdom"
"Aswan Intl","Aswan, Egypt"
"Asyut International Airport","Asyut, Egypt"
"Bakel","Bakel, Senegal"
"Bamburi","Bamburi, Kenya"
"Bangui M Poko","Bangui, Central African Republic"
"Barkston Heath","Barkston Heath, United Kingdom"
"Barra Airport","Barra, United Kingdom"
"Bembridge","Bembridge, United Kingdom"
"Benbecula","Benbecula, United Kingdom"
"Benin","Benin, Nigeria"
"Benson","Benson, United Kingdom"
"Berberati","Berberati, Central African Republic"
"Bethlehem","Bethlehem, South Africa"
"Bhisho","Bisho, South Africa"
"Biggin Hill","Biggin Hill, United Kingdom"
"Birmingham","Birmingham, United Kingdom"
"Blackbushe","Blackbushe, United Kingdom"
"Blackpool","Blackpool, United Kingdom"
"Bloemfontein Intl","Bloemfontein, South Africa"
"Booker","Wycombe, United Kingdom"
"Borg El Arab Intl","Alexandria, Egypt"
"Boscombe Down","Boscombe Down, United Kingdom"
"Bothaville","Bothaville, South Africa"
"Bournemouth","Bournemouth, United Kingdom"
"Brakpan","Brakpan, South Africa"
"Bristol Filton","Bristol, United Kingdom"
"Bristol","Bristol, United Kingdom"
"Brize Norton","Brize Norton, United Kingdom"
"Brough","Brough, United Kingdom"
"Bukoba Airport","Bukoba, Tanzania"
"Cairo Intl","Cairo, Egypt"
"Cairo West","Cairo, Egypt"
"Calabar","Calabar, Nigeria"
"Calvinia","Calvinia, South Africa"
"Cambridge","Cambridge, United Kingdom"
"Campbeltown Airport","Campbeltown, United Kingdom"
"Cap Skiring","Cap Skiring, Senegal"
"Cape Town Intl","Cape Town, South Africa"
"Cardiff","Cardiff, United Kingdom"
"Carlisle","Carlisle, United Kingdom"
"Chalgrove","Chalsgrove, United Kingdom"
"Chivenor","Chivenor, United Kingdom"
"Church Fenton","Church Fenton, United Kingdom"
"City","Belfast, United Kingdom"
"City","London, United Kingdom"
"Coll Airport","Coll, United Kingdom"
"Colonsay Airport","Colonsay, United Kingdom"
"Coningsby","Coningsby, United Kingdom"
"Conington","Peterborough, United Kingdom"
"Cosford","Cosford, United Kingdom"
"Cottesmore","Cottesmore, United Kingdom"
"Coventry","Coventry, United Kingdom"
"Cranfield","Cranfield, United Kingdom"
"Cranwell","Cranwell, United Kingdom"
"Crocodile Camp Air Strip","Tsavo East, Kenya"
"Culdrose","Culdrose, United Kingdom"
"Dishforth","Dishforth, United Kingdom"
"Dodoma","Dodoma, Tanzania"
"Dundee","Dundee, United Kingdom"
"Durban Intl","Durban, South Africa"
"Durham Tees Valley Airport","Teesside, United Kingdom"
"Dyce","Aberdeen, United Kingdom"
"East London","East London, South Africa"
"Eastleigh","Nairobi, Kenya"
"Eday Airport","Eday, United Kingdom"
"Edinburgh Waverly Station","Edinburgh, United Kingdom"
"Edinburgh","Edinburgh, United Kingdom"
"El Arish International Airport","El Arish, Egypt"
"El Gora","El-gora, Egypt"
"El Tor","El-tor, Egypt"
"Eldoret Intl","Eldoret, Kenya"
"Entebbe Intl","Entebbe, Uganda"
"Enugu","Enugu, Nigeria"
"Ermelo","Ermelo, South Africa"
"Exeter","Exeter, United Kingdom"
"Fair Isle Airport","Fair Isle, United Kingdom"
"Fairford","Fairford, United Kingdom"
"Farnborough","Farnborough, United Kingdom"
"Ferry Port","Dover, United Kingdom"
"Ficksburg Sentraoes","Ficksburg, South Africa"
"Fort William Heliport","Fort William, United Kingdom"
"Foula Airport","Foula, United Kingdom"
"Gamston","Repton, United Kingdom"
"Gariep Dam","Hendrik Verwoerddam, South Africa"
"Gatwick","London, United Kingdom"
"George","George, South Africa"
"Gisenyi","Gisenyi, Rwanda"
"Glasgow Buchanan Bus Station","Glasgow, United Kingdom"
"Glasgow City Heliport","Glasgow, United Kingdom"
"Glasgow Railway Station","Glasgow, United Kingdom"
"Glasgow","Glasgow, United Kingdom"
"Gloucestershire","Golouchestershire, United Kingdom"
"Gombe Lawanti International Airport","Gombe, Nigeria"
"Gounda Airport","Gounda, Central African Republic"
"Graaff Reinet","Graaff Reinet, South Africa"
"Grahamstown","Grahamstown, South Africa"
"Grand Central","Johannesburg, South Africa"
"Greytown","Greytown, South Africa"
"Grumeti Airstrip","Serengeti National Park, Tanzania"
"Gulu Airport","Gulu, Uganda"
"Gusau","Gusau, Nigeria"
"Harmony","Harmony, South Africa"
"Harrismith","Harrismith, South Africa"
"Hatfield","Hatfield, United Kingdom"
"Haverfordwest","Haverfordwest, United Kingdom"
"Hawarden","Hawarden, United Kingdom"
"Heathrow","London, United Kingdom"
"Hendrik Swellengrebel","Swellendam, South Africa"
"Hoedspruit Afb","Hoedspruit, South Africa"
"Honington","Honington, United Kingdom"
"Humberside","Humberside, United Kingdom"
"Hurghada Intl","Hurghada, Egypt"
"Isles of Scilly","St Mary'S, United Kingdom"
"Ibadan","Ibadan, Nigeria"
"Ilorin","Ilorin, Nigeria"
"Imo Airport",", Nigeria"
"Inverness","Inverness, United Kingdom"
"Iringa","Iringa, Tanzania"
"Islay","Islay, United Kingdom"
"Johan Pienaar","Kuruman, South Africa"
"Johannesburg Intl","Johannesburg, South Africa"
"Jomo Kenyatta International","Nairobi, Kenya"
"Jomo Kenyatta","Nairobi, Kenya"
"Kaduna","Kaduna, Nigeria"
"Kakamega","Kakamega, Kenya"
"Kamembe","Kamembe, Rwanda"
"Kaolack","Kaolack, Senegal"
"Katsina Airport","Katsina, Nigeria"
"Kedougou","Kedougou, Senegal"
"Keekorok","Keekorok, Kenya"
"Kemble","Pailton, United Kingdom"
"Kichwa Tembo","Kichwa Tembo, Kenya"
"Kidepo Airport","Kidepo, Uganda"
"Kidlington","Oxford, United Kingdom"
"Kigali Intl","Kigali, Rwanda"
"Kigoma Airport","Kigoma, Tanzania"
"Kikwetu Airport","Lindi, Tanzania"
"Kilimanjaro Intl","Kilimanjaro, Tanzania"
"Kimana","Kimana, Kenya"
"Kimberley","Kimberley, South Africa"
"Kirkwall","Kirkwall, United Kingdom"
"Kisumu","Kisumu, Kenya"
"Kitale","Kitale, Kenya"
"Kitgum Airport","Kitgum, Uganda"
"Kiwayu (Mkononi) Airport","Kiwayu, Kenya"
"Kleinsee","Kleinsee, South Africa"
"Kroonstad","Kroonstad, South Africa"
"Kruger Mpumalanga International Airport","Mpumalanga, South Africa"
"Krugersdorp","Krugersdorp, South Africa"
"Ladysmith","Ladysmith, South Africa"
"Lake Manyara","Lake Manyara, Tanzania"
"Lakenheath","Lakenheath, United Kingdom"
"Lamu Manda","Lamu, Kenya"
"Land's End / St. Just Airport","Land's End, United Kingdom"
"Langebaanweg","Langebaanweg, South Africa"
"Lanseria","Johannesburg, South Africa"
"Lasham","Lasham, United Kingdom"
"Leeds Bradford","Leeds, United Kingdom"
"Leeds Railway Station","Leeds, United Kingdom"
"Leeming","Leeming, United Kingdom"
"Leicester","Leicester, United Kingdom"
"Leopold Sedar Senghor Intl","Dakar, Senegal"
"Lerwick / Tingwall Airport","Lerwick, United Kingdom"
"Leuchars","Leuchars, United Kingdom"
"Lewa Airport","Lewa, Kenya"
"Lichtenburg","Lichtenburg, South Africa"
"Linton On Ouse","Linton-on-ouse, United Kingdom"
"Liverpool Railway Station","Liverpool, United Kingdom"
"Liverpool","Liverpool, United Kingdom"
"Llanbedr","Llanbedr, United Kingdom"
"Lodwar","Lodwar, Kenya"
"Lokichoggio Airport","Lokichoggio, Kenya"
"Londolozi","Londolozi, South Africa"
"London Euston Railway Station","London, United Kingdom"
"London Heliport","London, United Kingdom"
"London St Pancras","London, United Kingdom"
"London Victoria Bus Station","London, United Kingdom"
"Londonderry Eglinton","Londonderry, United Kingdom"
"Lossiemouth","Lossiemouth, United Kingdom"
"Luton","London, United Kingdom"
"Luxor Intl","Luxor, Egypt"
"Lydd","Lydd, United Kingdom"
"Lyneham","Lyneham, United Kingdom"
"Mafia","Mafia Island, Tanzania"
"Maiduguri","Maiduguri, Nigeria"
"Majuba Power Station","Majuba Power Station, South Africa"
"Makhado Afb","Lambertsbaai, South Africa"
"Makurdi","Makurdi, Nigeria"
"Malamala Airport","Malamala, South Africa"
"Malelane","Malalane, South Africa"
"Malindi Airport","Malindi, Kenya"
"Mallam Aminu Intl","Kano, Nigeria"
"Manchester Picadilly Station","Manchester, United Kingdom"
"Manchester Woodford","Woodfort, United Kingdom"
"Manchester","Manchester, United Kingdom"
"Manston","Manston, United Kingdom"
"Mara Lodges","Mara Lodges, Kenya"
"Mara Serena Airport","Masai Mara, Kenya"
"Marble Hall","Marble Hall, South Africa"
"Margate","Margate, South Africa"
"Marham","Marham, United Kingdom"
"Marsa Alam Intl","Marsa Alam, Egypt"
"Mersa Matruh","Mersa-matruh, Egypt"
"Middelburg","Middelburg, South Africa"
"Mildenhall","Mildenhall, United Kingdom"
"Minna New","Minna, Nigeria"
"Mkuzi","Mkuze, South Africa"
"Mmabatho International Airport","Mafeking, South Africa"
"Mombasa Moi Intl","Mombasa, Kenya"
"Morningside Farm","Messina, South Africa"
"Moyale Airport","Moyale, Kenya"
"Moyo Airport","Moyo, Uganda"
"Mtemere Airstrip","Selous, Tanzania"
"Mthatha","Umtata, South Africa"
"Mtwara","Mtwara, Tanzania"
"Mulika Lodge Airport","Meru National Park, Kenya"
"Murtala Muhammed","Lagos, Nigeria"
"Musoma Airport","Musoma, Tanzania"
"Mwalimu Julius K Nyerere Intl","Dar Es Salaam, Tanzania"
"Mwanza","Mwanza, Tanzania"
"Nairobi Wilson","Nairobi, Kenya"
"Naivasha","Naivasha, Kenya"
"Namanga","Namanga, Kenya"
"Nanyuki Civil Airport","Nanyuki, Kenya"
"Nelspruit Airport","Nelspruit, South Africa"
"New Tempe","Bloemfontein, South Africa"
"Newcastle Railway Station","Newcastle Upon Tyne, United Kingdom"
"Newcastle","Newcastle, South Africa"
"Newcastle","Newcastle, United Kingdom"
"Nnamdi Azikiwe Intl","Abuja, Nigeria"
"North Ronaldsay Airport","North Ronaldsay, United Kingdom"
"North Weald","North Weald, United Kingdom"
"Northolt","Northolt, United Kingdom"
"Norwich","Norwich, United Kingdom"
"Nottingham Airport","Nottingham, United Kingdom"
"Nottingham East Midlands","East Midlands, United Kingdom"
"Nylstroom","Nylstroom, South Africa"
"Oban Airport","North Connel, United Kingdom"
"Odiham","Odiham, United Kingdom"
"Ol Kiombo Airstrip","Masai Mara National Park, Kenya"
"Ol Kiombo","Mara Intrepids, Kenya"
"Oldbury","Oldbury, United Kingdom"
"Oudtshoorn","Oudtshoorn, South Africa"
"Ouro Sogui Airport","Matam, Senegal"
"Outer Skerries Airport",", United Kingdom"
"Overberg","Overberg, South Africa"
"P C Pelser","Klerksdorp, South Africa"
"Paddington Station","London, United Kingdom"
"Pakuba Airport","Pakuba, Uganda"
"Papa Stour Airport","Papa Stour, United Kingdom"
"Papa Westray Airport","Papa Westray, United Kingdom"
"Parys","Parys, South Africa"
"Pemba","Pemba, Tanzania"
"Penzance Heliport","Penzance, United Kingdom"
"Phalaborwa","Phalaborwa, South Africa"
"Pietermaritzburg","Pietermaritzburg, South Africa"
"Pietersburg","Pietersburg, South Africa"
"Pilanesberg Intl","Pilanesberg, South Africa"
"Plettenberg Bay","Plettenberg Bay, South Africa"
"Plymouth","Plymouth, United Kingdom"
"Polokwane Intl","Potgietersrus, South Africa"
"Port Elizabeth Intl","Port Elizabeth, South Africa"
"Port Harcourt Intl","Port Hartcourt, Nigeria"
"Port Said","Port Said, Egypt"
"Port St Johns","Port Saint Johns, South Africa"
"Portsmouth Airport","Portsmouth, United Kingdom"
"Potchefstroom","Potchefstroom, South Africa"
"Prestwick","Prestwick, United Kingdom"
"Prince Mangosuthu Buthelezi","Ulundi, South Africa"
"Queenstown","Queenstown, South Africa"
"Rnas Watton","Watton, United Kingdom"
"Rand Airport","Johannesburg, South Africa"
"Richards Bay","Richard's Bay, South Africa"
"Robertson","Robertson, South Africa"
"Robin Hood Doncaster Sheffield Airport","Doncaster, Sheffield, United Kingdom"
"Rustenburg","Rustenburg, South Africa"
"SCC4","MFO, Egypt"
"Sabi Sabi Airport","Sabi Sabi, South Africa"
"Sadiq Abubakar Iii Intl","Sokoto, Nigeria"
"Saint Louis","St. Louis, Senegal"
"Saldanha Vredenburg","Saldanha, South Africa"
"Samburu South Airport","Samburu South, Kenya"
"Sanday Airport","Sanday, United Kingdom"
"Sandown","Isle Of Wight, United Kingdom"
"Scampton","Scampton, United Kingdom"
"Scatsta","Scatsta, United Kingdom"
"Secunda","Secunda, South Africa"
"Selous Siswandu","Selous National Park, Tanzania"
"Seronera","Seronera, Kenya"
"Shaftesbury-Compton Abbas Aerodrome","Shaftesbury, United Kingdom"
"Sharm El Sheikh Intl","Sharm El Sheikh, Egypt"
"Sharq Al-Owainat Airport","Sharq Al-Owainat, Egypt"
"Shawbury","Shawbury, United Kingdom"
"Sheffield City","Fowlmere, United Kingdom"
"Shinyanga Airport","Shinyanga, Tanzania"
"Shoreham","Shoreham By Sea, United Kingdom"
"Singita Sabi Sands","Sabi Sands, South Africa"
"Sishen","Sishen, South Africa"
"Skukuza","Skukuza, South Africa"
"Sohag International","Sohag, Egypt"
"Solio Ranch Airport","Solio, Kenya"
"Soroti","Soroti, Uganda"
"Southampton Cruise Terminal","Southampton, United Kingdom"
"Southampton","Southampton, United Kingdom"
"Southend","Southend, United Kingdom"
"Springbok","Springbok, South Africa"
"Springs","Springs, South Africa"
"St Angelo","Enniskillen, United Kingdom"
"St Athan","St. Athan, United Kingdom"
"St Catherine Intl","St. Catherine, Egypt"
"St Mawgan","Newquai, United Kingdom"
"St Pancras Railway Station","London, United Kingdom"
"Stansted","London, United Kingdom"
"Steenberg Helipad","Cape Town, South Africa"
"Stornoway","Stornoway, United Kingdom"
"Stronsay Airport","Stronsay, United Kingdom"
"Sumburgh","Sumburgh, United Kingdom"
"Swansea","Swansea, United Kingdom"
"Swartkop","Swartkop, South Africa"
"Taba Intl","Taba, Egypt"
"Tabora Airport","Tabora, Tanzania"
"Tambacounda","Tambacounda, Senegal"
"Tanga","Tanga, Tanzania"
"Ternhill","Ternhill, United Kingdom"
"Tiree","Tiree, United Kingdom"
"Tommys Fld","Tommy's Field, South Africa"
"Topcliffe","Topcliffe, United Kingdom"
"Tresco Heliport","Tresco, United Kingdom"
"Turweston","Turweston, United Kingdom"
"Tutuka Power Station","Tutuka, South Africa"
"Tzaneen","Tzaneen, South Africa"
"Ukunda Airport","Ukunda, Kenya"
"Unst Airport","Unst, United Kingdom"
"Upington","Upington, South Africa"
"V-A Waterfront","Cape Town, South Africa"
"Vereeniging","Vereeniging, South Africa"
"Virginia","Durban, South Africa"
"Vredendal","Vredendal, South Africa"
"Vryburg","Vryburg, South Africa"
"Waddington","Waddington, United Kingdom"
"Wajir","Wajir, Kenya"
"Walney Island","Barrow Island, United Kingdom"
"Warri Airport","Osubi, Nigeria"
"Warton","Warton, United Kingdom"
"Waterkloof Afb","Waterkloof, South Africa"
"Wattisham","Wattisham, United Kingdom"
"Welkom","Welkom, South Africa"
"Wellesbourne Mountford","Wellesbourne, United Kingdom"
"Westray Airport","Westray, United Kingdom"
"White Waltham Airfield","Maidenhead, United Kingdom"
"Wick","Wick, United Kingdom"
"Wideawake Field","Georgetown Acension Island Santa Helena, United Kingdom"
"Witbank","Witbank, South Africa"
"Wittering","Wittering, United Kingdom"
"Wolverhampton","Halfpenny Green, United Kingdom"
"Wonderboom","Pretoria, South Africa"
"Woodvale","Woodvale, United Kingdom"
"Wyton","Wyton, United Kingdom"
"Yakubu Gowon","Jos, Nigeria"
"Yeovilton","Yeovilton, United Kingdom"
"Yola","Yola, Nigeria"
"Ysterplaat","Ysterplaat, South Africa"
"Zanzibar","Zanzibar, Tanzania"
"Zaria","Zaria, Nigeria"
"Zeerust","Zeerust, South Africa"
"Ziguinchor","Ziguinchor, Senegal"
